Event,2025-05-22,ROMEO AND JULIET,1566
Event,2025-05-24,THE CRUCIBLE,1234
Event,2025-05-25,HAMILTON,1234
Event,2025-05-23,HAMLET IN LAPLAND,1234
Event,2025-05-24,MACBETH,1566
Booking,1,1,2025-05-24,THE CRUCIBLE,note
Purchase,1-52025-05-2410,1,5,2025-05-24,THE CRUCIBLE
Purchase,1-52025-05-2416,1,5,2025-05-24,MACBETH
Purchase,2-12025-05-2572,2,1,2025-05-25,HAMILTON
Purchase,1-42025-05-2408,1,4,2025-05-24,MACBETH
Purchase,2-32025-05-2508,2,3,2025-05-25,HAMILTON
Purchase,2-102025-05-2440,2,10,2025-05-24,MACBETH
Purchase,2-52025-05-2540,2,5,2025-05-25,HAMILTON
Purchase,1-62025-05-2507,1,6,2025-05-25,HAMILTON
Purchase,1-52025-05-2511,1,5,2025-05-25,HAMILTON
Purchase,1-22025-05-2448,1,2,2025-05-24,THE CRUCIBLE
Purchase,1-22025-05-2405,1,2,2025-05-24,MACBETH
